document_id,category,method,field,ground_truth,prediction,normalized_ground_truth,normalized_prediction,correct,inference_ms,required_human_correction
data/samples/final_eval/chinese_invoices/taxi_0203.jpg,chinese_invoices,layoutlmv3,invoice_number,56256948,56256948,56256948,56256948,True,330.103,True
data/samples/final_eval/chinese_invoices/taxi_0203.jpg,chinese_invoices,layoutlmv3,date,2017-09-09,,2017-09-09,,False,330.103,True
data/samples/final_eval/chinese_invoices/taxi_0203.jpg,chinese_invoices,layoutlmv3,vendor_name,黑龙江省国家税务局,HLJGS,黑龙江省国家税务局,hljgs,False,330.103,True
data/samples/final_eval/chinese_invoices/taxi_0203.jpg,chinese_invoices,layoutlmv3,subtotal,,34.00,,34.00,False,330.103,True
data/samples/final_eval/chinese_invoices/taxi_0203.jpg,chinese_invoices,layoutlmv3,tax_amount,,,,,True,330.103,True
data/samples/final_eval/chinese_invoices/taxi_0203.jpg,chinese_invoices,layoutlmv3,total_amount,34.0,34.00,34.00,34.00,True,330.103,True
data/samples/final_eval/chinese_invoices/taxi_0203.jpg,chinese_invoices,layoutlmv3,currency,CNY,CNY,CNY,CNY,True,330.103,True
data/samples/final_eval/chinese_invoices/taxi_0207.jpg,chinese_invoices,layoutlmv3,invoice_number,11142434,11142434,11142434,11142434,True,85.346,True
data/samples/final_eval/chinese_invoices/taxi_0207.jpg,chinese_invoices,layoutlmv3,date,2017-09-27,2017-09-27,2017-09-27,2017-09-27,True,85.346,True
data/samples/final_eval/chinese_invoices/taxi_0207.jpg,chinese_invoices,layoutlmv3,vendor_name,临沂市出租车,通用机打发票,临沂市出租车,通用机打发票,False,85.346,True
data/samples/final_eval/chinese_invoices/taxi_0207.jpg,chinese_invoices,layoutlmv3,subtotal,,,,,True,85.346,True
data/samples/final_eval/chinese_invoices/taxi_0207.jpg,chinese_invoices,layoutlmv3,tax_amount,,3.80,,3.80,False,85.346,True
data/samples/final_eval/chinese_invoices/taxi_0207.jpg,chinese_invoices,layoutlmv3,total_amount,10.5,1.00,10.50,1.00,False,85.346,True
data/samples/final_eval/chinese_invoices/taxi_0207.jpg,chinese_invoices,layoutlmv3,currency,CNY,CNY,CNY,CNY,True,85.346,True
data/samples/final_eval/chinese_invoices/taxi_0226.jpg,chinese_invoices,layoutlmv3,invoice_number,15680213,3127100000000008,15680213,3127100000000008,False,82.901,True
data/samples/final_eval/chinese_invoices/taxi_0226.jpg,chinese_invoices,layoutlmv3,date,2017-04-20,2017-04-20,2017-04-20,2017-04-20,True,82.901,True
data/samples/final_eval/chinese_invoices/taxi_0226.jpg,chinese_invoices,layoutlmv3,vendor_name,浙江省国家税务局,浙江百国家税务局通用机打发票,浙江省国家税务局,浙江百国家税务局通用机打发票,False,82.901,True
data/samples/final_eval/chinese_invoices/taxi_0226.jpg,chinese_invoices,layoutlmv3,subtotal,,,,,True,82.901,True
data/samples/final_eval/chinese_invoices/taxi_0226.jpg,chinese_invoices,layoutlmv3,tax_amount,,,,,True,82.901,True
data/samples/final_eval/chinese_invoices/taxi_0226.jpg,chinese_invoices,layoutlmv3,total_amount,16.00,,16.00,,False,82.901,True
data/samples/final_eval/chinese_invoices/taxi_0226.jpg,chinese_invoices,layoutlmv3,currency,CNY,CNY,CNY,CNY,True,82.901,True
data/samples/final_eval/clean_invoices/starter_invoice_001.png,clean_invoices,layoutlmv3,invoice_number,INV-2026-0001,INV-2026-0001,INV-2026-0001,INV-2026-0001,True,81.767,False
data/samples/final_eval/clean_invoices/starter_invoice_001.png,clean_invoices,layoutlmv3,date,2026-05-01,2026-05-01,2026-05-01,2026-05-01,True,81.767,False
data/samples/final_eval/clean_invoices/starter_invoice_001.png,clean_invoices,layoutlmv3,vendor_name,Blue River Trading Ltd,Blue River Trading Ltd,blue river trading ltd,blue river trading ltd,True,81.767,False
data/samples/final_eval/clean_invoices/starter_invoice_001.png,clean_invoices,layoutlmv3,subtotal,210.0,210.00,210.00,210.00,True,81.767,False
data/samples/final_eval/clean_invoices/starter_invoice_001.png,clean_invoices,layoutlmv3,tax_amount,21.0,21.00,21.00,21.00,True,81.767,False
data/samples/final_eval/clean_invoices/starter_invoice_001.png,clean_invoices,layoutlmv3,total_amount,231.0,231.00,231.00,231.00,True,81.767,False
data/samples/final_eval/clean_invoices/starter_invoice_001.png,clean_invoices,layoutlmv3,currency,USD,USD,USD,USD,True,81.767,False
data/samples/final_eval/clean_invoices/starter_invoice_011.png,clean_invoices,layoutlmv3,invoice_number,INV-2026-0011,INV-2026-0011,INV-2026-0011,INV-2026-0011,True,83.505,True
data/samples/final_eval/clean_invoices/starter_invoice_011.png,clean_invoices,layoutlmv3,date,2026-05-31,2026-05-31,2026-05-31,2026-05-31,True,83.505,True
data/samples/final_eval/clean_invoices/starter_invoice_011.png,clean_invoices,layoutlmv3,vendor_name,CN VAT INVOICE SAMPLE CN VAT SAMPLE TRADING,CN VAT INVOICE SAMPLE,cn vat invoice sample cn vat sample trading,cn vat invoice sample,False,83.505,True
data/samples/final_eval/clean_invoices/starter_invoice_011.png,clean_invoices,layoutlmv3,subtotal,545.00,545.00,545.00,545.00,True,83.505,True
data/samples/final_eval/clean_invoices/starter_invoice_011.png,clean_invoices,layoutlmv3,tax_amount,70.85,70.85,70.85,70.85,True,83.505,True
data/samples/final_eval/clean_invoices/starter_invoice_011.png,clean_invoices,layoutlmv3,total_amount,615.85,615.85,615.85,615.85,True,83.505,True
data/samples/final_eval/clean_invoices/starter_invoice_011.png,clean_invoices,layoutlmv3,currency,CNY,CNY,CNY,CNY,True,83.505,True
